Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Cydnei Drake,https://www.drakeforcfb.com/,https://www.facebook.com/voteforcydneidrake,https://twitter.com/cydneidrake,https://www.instagram.com/voteforcydneidrake/,,TX,Carrollton Farmers Branch School Board
Hosanna Yemiru,https://www.hosannafordallas.com/,https://www.facebook.com/hosanna4dallas,https://twitter.com/hosanna4dallas,https://www.instagram.com/hosanna4dallas/,,TX,"Dallas City Council, District 11"
Diana Saleh,https://www.dianaforarlington.com/,https://www.facebook.com/dianaforarlington,,https://www.instagram.com/dianaforarlington/,,TX,"Arlington City Council, District 3"
Alison Maguire,https://alisonfordenton.com,https://www.facebook.com/alisonfordenton,https://twitter.com/alisonfordenton,https://www.instagram.com/alisonfordenton,,TX,"Denton City Council, District 4"
Janneke Parrish,https://www.jannekeforroundrock.com/,https://www.facebook.com/jannekeparrishrr,https://twitter.com/jannekeparrish,,,TX,Round Rock City Council
Rafael 'Rafa' Diaz,https://www.votediaz.com,https://www.facebook.com/rafaelforjudson,,,,TX,"Judson ISD, District 7 At-Large"
Roxanne Martinez,https://roxanne4fwisd.com/,https://www.facebook.com/roxanne4fwisd/,https://twitter.com/roxanne4fwisd,https://www.instagram.com/roxanne4fwisd/,,TX,"Fort Worth ISD Board of Trustees, District 9"
Nassat Parveen,https://nassat4plano.com/,https://www.facebook.com/nassatforplano,,https://www.instagram.com/nassatforplano/,,TX,"Plano City Council, Place 4"
Mark Vargas,https://mark4sa.com/,https://www.facebook.com/mark4sa,https://twitter.com/mark4sa,https://www.instagram.com/mark4sa/,,TX,"San Antonio City Council, District 3"
Stephanie Bell,https://steffieb.com,https://www.facebook.com/steffiebforflomo,,,,TX,Mayor of Flower Mound
Clayton Tucker,https://www.claytontuckertx.com/,https://www.facebook.com/claytontuckertexas/,https://twitter.com/claytontuckertx,https://www.instagram.com/claytontuckertx/,,TX,"Lampasas City Council, Place 1"
Jennifer Long,,https://www.facebook.com/momsrunheb,https://twitter.com/momsrunheb,https://www.instagram.com/momsrunheb,,TX,"Hurst-Euless-Bedford ISD, Place 5"
Chelsea Pavey,https://www.chelseaforgrandprairie.com/,https://www.facebook.com/chelseaforgrandprairie,,,,TX,"Grand Prairie City Council, Place 8, At Large"
Jen Rossi,https://collingswoodtogether.org/,https://www.facebook.com/collingswoodtogether2021,https://twitter.com/ctogether2021,https://www.instagram.com/collingswoodtogether2021/,,NJ,Collingswood Board of Commissioners
